0:472.337,329.387,2424.92,762.312
1:2424.92,762.312,472.337,329.387
2:-9.49477,2270.48,472.337,329.387
3:472.337,329.387,407.762,263.423
4:407.762,263.423,405.011,252.8
5:405.011,252.8,1477.21,-1435.51
6:-1413.39,-579.925,405.011,252.8
7:405.011,252.8,-1413.39,-579.925
8:2409.39,125.804,413.686,256.772
9:413.686,256.772,2409.39,125.804
10:-922.523,1756.86,407.762,263.423
11:407.762,263.423,-922.523,1756.86
12:472.337,329.387,-9.49477,2270.48
13:407.762,263.423,472.337,329.387
14:405.011,252.8,407.762,263.423
15:1477.21,-1435.51,405.011,252.8
